Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
1.39,0,0.4612778922832793853858673469,0.461277892,0.331375329,0.461277892,0.331375329,0,0,0,0,8.217795855381946960352053526,127.46935042646046083990269296,122.10687736685473390139403434,149489300
1.4,0,0.4594607893330995062252712515,0.459460789,0.329558226,0.459460789,0.329558226,0,0,0,0,8.220217939856135860352053526,127.42707514131913287266707601,122.07456366359371170402890551,150564800
1.41,0,0.4576588926695362169780649326,0.457658893,0.327756329,0.457658893,0.327756329,0,0,0,0,8.222600493186338160352053527,127.38491358706415507833877495,122.04230959577258676838441506,151640300
1.42,0,0.4558719859559761919655430373,0.455871986,0.325969423,0.455871986,0.325969423,0,0,0,0,8.224948066181753060352053527,127.34294486099827574376145481,122.01018172825897371832763736,152715700
1.43,0,0.4540998226111490425594864940,0.454099823,0.324197259,0.454099823,0.324197259,0,0,0,0,8.227257959522229060352053527,127.30113080933962650940163124,121.97814790130991314443360769,153791200
1.44,0,0.4523421890092526994704275635,0.452342189,0.322439626,0.452342189,0.322439626,0,0,0,0,8.225671379934499173053887638,127.2594872626932209153252801,121.95633199263709850840375901,154866700
1.45,0,0.4505988786870182914467950246,0.450598879,0.320696315,0.450598879,0.320696315,0,0,0,0,8.221916377821039251140134214,127.21792796139154714919183426,121.94011809807455018806041491,155942100
1.46,0,0.4488696674439321809930627093,0.448869667,0.318967104,0.448869667,0.318967104,0,0,0,0,8.218130898868566153183357988,127.17658776020062763967239706,121.92402327447444011278027986,157017600
1.47,0,0.4471543656728999104276009676,0.447154366,0.317251802,0.447154366,0.317251802,0,0,0,0,8.214316730723733331269604564,127.13532374900778138658390337,121.9079343456054201701919659,158093100
1.48,0,0.4454527859134162779981841462,0.445452786,0.315550223,0.445452786,0.315550223,0,0,0,0,8.210475486486572309355851141,127.09427208168466459997122276,121.89196225646279879460261097,159168500
1.49,0,0.4437647263556573141751445583,0.443764726,0.313862163,0.443764726,0.313862163,0,0,0,0,8.206605777046874487442097716,127.05326891366295697726753786,121.87597472773595166533117937,160244000
1.5,0,0.4420899967914062548455820315,0.442089997,0.312187434,0.442089997,0.312187434,0,0,0,0,8.202711070069329365528344291,127.01246384801712477752733952,121.86009482032960121953080685,161319400
1.51,0,0.4404284165677380829069223898,0.440428417,0.310525853,0.440428417,0.310525853,0,0,0,0,8.198792731720504843614590868,126.97178432210233281242157164,121.84426537797015522272982196,162394900
